iter	Passed	Remaining
398	82259	123905
399	82461	123692
400	82659	123474
401	82847	123240
402	83033	123005
403	83216	122765
404	83409	122539
405	83589	122296
406	83784	122073
407	83962	121828
408	84211	121684
409	84433	121501
410	84641	121299
411	84847	121092
412	85025	120847
413	85211	120613
414	85398	120381
415	85583	120145
416	85758	119897
417	85949	119670
418	86126	119426
419	86308	119188
420	86503	118967
421	86725	118785
422	86900	118537
423	87099	118324
424	87296	118106
425	87495	117892
426	87641	117607
427	87803	117344
428	87947	117058
429	88094	116775
430	88242	116497
431	88394	116221
432	88545	115948
433	88696	115673
434	88834	115382
435	89056	115202
436	89236	114965
437	89456	114782
438	89652	114566
439	89840	114342
440	89985	114062
441	90172	113837
442	90369	113625
443	90581	113431
444	90780	113220
445	90966	112994
446	91154	112770
447	91368	112579
448	91523	112315
449	91715	112097
450	91895	111864
451	92060	111613
452	92208	111341
453	92362	111079
454	92515	110815
455	92675	110560
456	92874	110352
457	93056	110123
458	93238	109895
459	93473	109729
460	93654	109500
461	93841	109278
462	94007	109032
463	94171	108783
464	94377	108585
465	94538	108333
466	94733	108122
467	94931	107913
468	95129	107705
469	95306	107472
470	95514	107276
471	95673	107024
472	95873	106818
473	96050	106587
474	96254	106386
475	96464	106191
476	96656	105977
477	96849	105764
478	97025	105532
479	97223	105325
480	97398	105092
481	97601	104891
482	97807	104692
483	98009	104489
484	98193	104267
485	98409	104079
486	98603	103867
487	98802	103661
488	98940	103391
489	99092	103137
490	99268	102907
491	99441	102675
492	99587	102415
493	99748	102171
494	99891	101909
495	100045	101659
496	100245	101455
497	100422	101228
498	100564	100967
499	100733	100733
500	100872	100469
501	101042	100237
502	101193	99985
503	101344	99736
504	101506	99496
505	101670	99259
506	101816	99004
507	102008	98796
508	102192	98578
509	102345	98332
510	102512	98098
511	102665	97852
512	102807	97596
513	102958	97349
514	103096	97090
515	103243	96840
516	103394	96594
517	103565	96368
518	103710	96116
519	103870	95880
520	104017	95632
521	104172	95391
522	104324	95149
523	104501	94928
524	104656	94688
525	104854	94488
526	104999	94240
527	105156	94003
528	105304	93758
529	105472	93532
530	105615	93283
531	105775	93050
532	105927	92810
533	106093	92583
534	106244	92343
535	106475	92172
536	106649	91952
537	106836	91744
538	107006	91521
539	107205	91323
540	107401	91122
541	107599	90923
542	107800	90726
543	107981	90514
544	108151	90291
545	108350	90093
546	108547	89894
547	108748	89697
548	108964	89513
549	109178	89327
550	109428	89171
551	109601	88952
552	109823	88772
553	110042	88590
554	110223	88377
555	110427	88182
556	110632	87989
557	110825	87786
558	111028	87591
559	111229	87394
560	111438	87203
561	111636	87005
562	111812	86788
563	112016	86594
564	112196	86381
565	112391	86180
566	112586	85978
567	112793	85786
568	112930	85541
569	113076	85303
570	113219	85063
571	113395	84848
572	113577	84638
573	113724	84401
574	113859	84156
575	114009	83923
576	114150	83683
577	114301	83451
578	114518	83267
579	114670	83037
580	114905	82866
581	115100	82666
582	115306	82475
583	115501	82275
584	115649	82042
585	115843	81841
586	116031	81637
587	116174	81401
588	116386	81213
589	116572	81008
590	116760	80803
591	116905	80570
592	117065	80347
593	117238	80132
594	117452	79946
595	117633	79738
596	117782	79507
597	117919	79270
598	118067	79040
599	118244	78829
600	118443	78634
601	118628	78428
602	118813	78223
603	118960	77994
604	119118	77771
605	119315	77574
606	119554	77405
607	119748	77206
608	119940	77005
609	120144	76813
610	120340	76616
611	120528	76413
612	120698	76199
613	120877	75991
614	121068	75790
615	121222	75567
616	121431	75378
617	121618	75175
618	121805	74972
619	121988	74766
620	122192	74574
621	122397	74383
622	122593	74186
623	122781	73983
624	122977	73786
625	123147	73573
626	123326	73366
627	123476	73142
628	123635	72923
629	123775	72693
630	123946	72482
631	124083	72250
632	124275	72052
633	124436	71835
634	124579	71608
635	124719	71380
636	124900	71175
637	125070	70964
638	125256	70763
639	125421	70549
640	125618	70354
641	125791	70145
642	125983	69947
643	126161	69741
644	126311	69520
645	126480	69309
646	126631	69089
647	126818	68889
648	127021	68697
649	127208	68497
650	127389	68293
651	127558	68083
652	127767	67894
653	127954	67694
654	128141	67494
655	128347	67304
656	128511	67091
657	128695	66890
658	128885	66691
659	129068	66490
660	129230	66276
661	129389	66062
662	129539	65844
663	129679	65620
664	129842	65409
665	129985	65188
